"birth_date","first_name","last_name","source"
1941-10-31,"Abel","Matutes Juan","https://en.wikipedia.org/wiki/Abel_Matutes"
1946-09-02,"Abel Ramón","Caballero Álvarez","https://en.wikipedia.org/wiki/Abel_Caballero"
1932-09-25,"Adolfo","Suárez González","https://en.wikipedia.org/wiki/Adolfo_Su%C3%A1rez"
1932-04-27,"Agustín","Rodríguez Sahagún","https://en.wikipedia.org/wiki/Agust%C3%ADn_Rodr%C3%ADguez_Sahag%C3%BAn"
1985-10-09,"Alberto","Garzón Espinosa","https://en.wikipedia.org/wiki/Alberto_Garz%C3%B3n"
1928-07-29,"Alberto","Oliart Saussol","https://en.wikipedia.org/wiki/Alberto_Oliart"
1958-12-11,"Alberto","Ruiz-Gallardón Jiménez","https://en.wikipedia.org/wiki/Alberto_Ruiz-Gallard%C3%B3n"
1967-04-14,"Alfonso","Alonso Aranegui","https://en.wikipedia.org/wiki/Alfonso_Alonso"
1955-10-05,"Alfonso","Dastis Quecedo","https://en.wikipedia.org/wiki/Alfonso_Dastis"
1940-05-31,"Alfonso","Guerra González","https://en.wikipedia.org/wiki/Alfonso_Guerra"
1923-12-13,"Alfonso","Osorio García","https://en.wikipedia.org/wiki/Alfonso_Osorio"
1951-07-28,"Alfredo","Pérez Rubalcaba","https://en.wikipedia.org/wiki/Alfredo_P%C3%A9rez_Rubalcaba"
1970-01-30,"Álvaro","Nadal Belda","https://en.wikipedia.org/wiki/%C3%81lvaro_Nadal"
1932-07-05,"Álvaro","Rengifo Calderón","https://es.wikipedia.org/wiki/%C3%81lvaro_Rengifo"
1957-11-11,"Ana María","Pastor Julián","https://en.wikipedia.org/wiki/Ana_Pastor_(politician)"
1959-09-24,"Ana","Mato Adrover","https://en.wikipedia.org/wiki/Ana_Mato"
1948-07-22,"Ana","Palacio Vallelersundi","https://en.wikipedia.org/wiki/Ana_Palacio"
1930-11-16,"Andrés","Reguera Guajardo","https://es.wikipedia.org/wiki/Andr%C3%A9s_Reguera_Guajardo"
1958-07-03,"Ángel","Acebes Paniagua","https://en.wikipedia.org/wiki/%C3%81ngel_Acebes"
1949-03-01,"Ángel","Gabilondo Pujol","https://en.wikipedia.org/wiki/%C3%81ngel_Gabilondo"
1965-04-07,"Ángeles","González-Sinde Reig","https://en.wikipedia.org/wiki/%C3%81ngeles_Gonz%C3%A1lez-Sinde"
1954-06-28,"Anna María","Birulés Bertrán","https://en.wikipedia.org/wiki/Anna_Birul%C3%A9s"
1951-07-12,"Antoni","Asunción Hernández","https://en.wikipedia.org/wiki/Antoni_Asunci%C3%B3n"
1964-02-11,"Antonio","Camacho Vizcaíno","https://en.wikipedia.org/wiki/Antonio_Camacho_Vizca%C3%ADno"
1923-10-15,"Antonio","Fontán Pérez","https://en.wikipedia.org/wiki/Antonio_Font%C3%A1n"
1913-09-25,"Antonio","Ibáñez Freire","https://en.wikipedia.org/wiki/Antonio_Ib%C3%A1%C3%B1ez_Freire"
1969-05-22,"Arancha","González Laya","https://en.wikipedia.org/wiki/Arancha_Gonz%C3%A1lez_Laya"
1927-05-01,"Aurelio","Menéndez Menéndez","https://en.wikipedia.org/wiki/Aurelio_Men%C3%A9ndez"
1968-07-01,"Beatriz","Corredor Sierra","https://en.wikipedia.org/wiki/Beatriz_Corredor"
1951-05-07,"Bernat","Soria Escoms","https://en.wikipedia.org/wiki/Bernat_Soria"
1977-02-02,"Bibiana","Aído Almagro","https://en.wikipedia.org/wiki/Bibiana_A%C3%ADdo"
1936-10-21,"Carlos","Bustelo García del Real","https://www.diariocordoba.com/opinion/2005/02/02/carlos-bustelo-38806511.html"
1912-08-30,"Carlos","Franco Iribarnegaray","https://en.wikipedia.org/wiki/Carlos_Franco_Iribarnegaray"
1927-12-31,"Carlos","Pérez de Bricio Olariaga","https://es.wikipedia.org/wiki/Carlos_P%C3%A9rez_de_Bricio"
1941-12-12,"Carlos","Romero Herrera","https://gee.mienciclo.com/articulo/jose-carlos-romero-herrera"
1944-05-28,"Carlos","Solchaga Catalán","https://es.wikipedia.org/wiki/Carlos_Solchaga"
1937-01-07,"Carlos","Westendorp Cabeza","https://es.wikipedia.org/wiki/Carlos_Westendorp"
1971-03-13,"Carme","Chacón Piqueras","https://es.wikipedia.org/wiki/Carme_Chac%C3%B3n"
1947-10-31,"Carmen","Alborch Bataller","https://es.wikipedia.org/wiki/Carmen_Alborch"
1957-06-07,"Carmen","Calvo Poyato","https://es.wikipedia.org/wiki/Carmen_Calvo"
1976-03-09,"Carmen","Montón Giménez","https://es.wikipedia.org/wiki/Carmen_Mont%C3%B3n"
1965-11-25,"Carolina","Darias San Sebastián","https://es.wikipedia.org/wiki/Carolina_Darias"
1949-11-14,"Celestino","Corbacho Chaves","https://es.wikipedia.org/wiki/Celestino_Corbacho"
1949-04-18,"Celia","Villalobos Talero","https://es.wikipedia.org/wiki/Celia_Villalobos"
1952-09-14,"César Antonio","Molina Sánchez","https://es.wikipedia.org/wiki/C%C3%A9sar_Antonio_Molina"
1946-02-22,"Cristina","Alberdi Alonso","https://es.wikipedia.org/wiki/Cristina_Alberdi"
1962-02-21,"Cristina","Garmendia Mendizábal","https://es.wikipedia.org/wiki/Cristina_Garmendia"
1951-07-29,"Cristina","Narbona Ruiz","https://es.wikipedia.org/wiki/Cristina_Narbona"
1950-07-28,"Cristóbal Ricardo","Montoro Romero","https://es.wikipedia.org/wiki/Crist%C3%B3bal_Montoro"
1980-06-25,"Diana","Morant Ripoll","https://es.wikipedia.org/wiki/Diana_Morant"
1962-11-09,"Dolores","Delgado García","https://es.wikipedia.org/wiki/Dolores_Delgado"
1973-09-18,"Dolors","Montserrat Montserrat","https://es.wikipedia.org/wiki/Dolors_Montserrat"
1936-11-09,"Eduard","Punset Casals","https://es.wikipedia.org/wiki/Eduardo_Punset"
1923-11-28,"Eduardo","Carriles Galarraga","https://es.wikipedia.org/wiki/Eduardo_Punset"
1946-12-19,"Eduardo","Serra Rexach","https://es.wikipedia.org/wiki/Eduardo_Serra_Rexach"
1956-04-03,"Eduardo Andrés","Zaplana Hernández-Soro","https://es.wikipedia.org/wiki/Eduardo_Zaplana"
1960-03-21,"Elena","Espinosa Mangana","https://es.wikipedia.org/wiki/Elena_Espinosa"
1949-05-12,"Elena","Salgado Méndez","https://es.wikipedia.org/wiki/Elena_Salgado"
1944-03-27,"Enrique","Barón Crespo","https://es.wikipedia.org/wiki/Enrique_Bar%C3%B3n"
1933-09-20,"Enrique","de la Mata Gorostizaga","https://es.wikipedia.org/wiki/Enrique_de_la_Mata"
1924-12-13,"Enrique","Fuentes Quintana","https://es.wikipedia.org/wiki/Enrique_Fuentes_Quintana"
1932-02-20,"Enrique","Múgica Herzog","https://es.wikipedia.org/wiki/Enrique_M%C3%BAgica"
1934-06-09,"Enrique","Sánchez de León Pérez","https://es.wikipedia.org/wiki/Enrique_S%C3%A1nchez_de_Le%C3%B3n"
1937-01-21,"Ernest","Lluch Martín","https://es.wikipedia.org/wiki/Ernest_Lluch"
1952-01-03,"Esperanza","Aguirre Gil de Biedma","https://es.wikipedia.org/wiki/Esperanza_Aguirre"
1967-01-06,"Fátima","Báñez García","https://es.wikipedia.org/wiki/F%C3%A1tima_B%C3%A1%C3%B1ez"
1934-01-27,"Federico","Mayor Zaragoza","https://es.wikipedia.org/wiki/Federico_Mayor_Zaragoza"
1952-05-23,"Federico","Trillo-Figueroa Martínez-Conde","https://es.wikipedia.org/wiki/Federico_Trillo"
1942-03-05,"Felipe","González Márquez","https://es.wikipedia.org/wiki/Felipe_Gonz%C3%A1lez"
1913-10-05,"Félix","Álvarez-Arenas Pacheco","https://es.wikipedia.org/wiki/F%C3%A9lix_%C3%81lvarez-Arenas_Pacheco"
1975-12-17,"Félix","Bolaños García","https://es.wikipedia.org/wiki/F%C3%A9lix_Bola%C3%B1os"
1936-09-04,"Félix Manuel","Pérez Miyares","https://www.march.es/es/coleccion/archivo-linz-transicion-espanola/ficha/biografias-nuevos-ministros--linz%3AR-67627"
1942-09-14,"Félix","Pons Irazazábal","https://es.wikipedia.org/wiki/F%C3%A9lix_Pons"
1936-08-31,"Fernando","Abril Martorell","https://es.wikipedia.org/wiki/Fernando_Abril_Martorell"
1910-07-23,"Fernando","de Santiago Díaz de Mendívil","https://es.wikipedia.org/wiki/Fernando_de_Santiago"
1962-07-26,"Fernando","Grande-Marlaska Gómez","https://es.wikipedia.org/wiki/Fernando_Grande-Marlaska"
1939-12-30,"Fernando","Ledesma Bartret","https://es.wikipedia.org/wiki/Fernando_Ledesma"
1926-03-25,"Fernando","Morán López","https://es.wikipedia.org/wiki/Fernando_Mor%C3%A1n_L%C3%B3pez"
1947-10-01,"Francisco","Álvarez-Cascos Fernández","https://es.wikipedia.org/wiki/Francisco_%C3%81lvarez-Cascos"
1963-01-08,"Francisco","Caamaño Domínguez","https://es.wikipedia.org/wiki/Francisco_Caama%C3%B1o_Dom%C3%ADnguez"
1930-06-22,"Francisco","Fernández Ordóñez","https://es.wikipedia.org/wiki/Francisco_Fern%C3%A1ndez_Ord%C3%B3%C3%B1ez"
1922-10-04,"Francisco","Lozano Vicente","https://es.wikipedia.org/wiki/Francisco_Lozano_Vicente"
1909-01-31,"Gabriel","Pita da Veiga Sanz","https://es.wikipedia.org/wiki/Gabriel_Pita_da_Veiga"
1949-02-27,"Gustavo","Suárez Pertierra","https://humanidadesdigitales.uc3m.es/s/catedraticos/item/16990"
1944-02-14,"Ignacio","Bayón Mariné","https://es.wikipedia.org/wiki/Ignacio_Bay%C3%B3n"
1940-09-01,"Ignacio","Camuñas Solís","https://es.wikipedia.org/wiki/Ignacio_Camu%C3%B1as_Sol%C3%ADs"
1924-09-05,"Ignacio","García López","https://es.wikipedia.org/wiki/Ignacio_Garc%C3%ADa_L%C3%B3pez"
1929-08-01,"Íñigo","Cavero Lataillade","https://es.wikipedia.org/wiki/%C3%8D%C3%B1igo_Cavero"
1971-01-10,"Íñigo","de la Serna Hernáiz","https://es.wikipedia.org/wiki/%C3%8D%C3%B1igo_de_la_Serna"
1956-01-21,"Íñigo","Méndez de Vigo Montojo","https://es.wikipedia.org/wiki/%C3%8D%C3%B1igo_M%C3%A9ndez_de_Vigo"
1987-09-25,"Ione","Belarra Urteaga","https://es.wikipedia.org/wiki/Ione_Belarra"
1988-02-13,"Irene","Montero Gil","https://es.wikipedia.org/wiki/Irene_Montero"
1968-10-09,"Isabel","García Tejerina","https://es.wikipedia.org/wiki/Isabel_Garc%C3%ADa_Tejerina"
1981-06-05,"Isabel","Rodríguez García","https://es.wikipedia.org/wiki/Isabel_Rodr%C3%ADguez_Garc%C3%ADa"
1949-03-09,"Isabel","Tocino Biscarolasaga","https://es.wikipedia.org/wiki/Isabel_Tocino"
1932-01-24,"Jaime","García Añoveros","https://es.wikipedia.org/wiki/Jaime_Garc%C3%ADa_A%C3%B1overos"
1941-04-04,"Jaime","Lamo de Espinosa Michels de Champourcin","https://es.wikipedia.org/wiki/Jaime_Lamo_de_Espinosa"
1951-07-12,"Jaime","Mayor Oreja","https://es.wikipedia.org/wiki/Jaime_Mayor_Oreja"
1956-10-05,"Jaume","Matas Palou","https://es.wikipedia.org/wiki/Jaume_Matas"
1957-12-28,"Francisco Javier","Arenas Bocanegra","https://es.wikipedia.org/wiki/Javier_Arenas"
1945-09-13,"Javier","Gómez-Navarro Navarrete","https://es.wikipedia.org/wiki/Javier_G%C3%B3mez_Navarro"
1944-10-11,"Javier Luis","Sáenz de Cosculluela","https://es.wikipedia.org/wiki/Javier_S%C3%A1enz_de_Cosculluela"
1934-10-07,"Javier","Moscoso del Prado Muñoz","https://es.wikipedia.org/wiki/Javier_Moscoso"
1942-07-14,"Javier","Solana Madariaga","https://es.wikipedia.org/wiki/Javier_Solana"
1936-07-03,"Jerónimo","Saavedra Acevedo","https://es.wikipedia.org/wiki/Jer%C3%B3nimo_Saavedra"
1957-10-31,"Jesús","Caldera Sánchez-Capitán","https://es.wikipedia.org/wiki/Jes%C3%BAs_Caldera"
1945-04-04,"Jesús María","Posada Moreno","https://es.wikipedia.org/wiki/Jes%C3%BAs_Posada_Moreno"
1940-12-16,"Jesús","Sancho Rof","https://es.wikipedia.org/wiki/Jes%C3%BAs_Sancho_Rof"
1949-06-29,"Joan","Clos Matheu","https://es.wikipedia.org/wiki/Joan_Clos"
1951-07-15,"Joan","Lerma Blasco","https://es.wikipedia.org/wiki/Joan_Lerma"
1939-03-30,"Joan","Majó Cruzate","https://fpabloiglesias.es/entrada-db/majo-cruzate-juan/"
1951-05-17,"Joan","Subirats Humet","https://es.wikipedia.org/wiki/Joan_Subirats"
1948-06-17,"José Joaquín","Almunia Amann","https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Almunia"
1933-09-30,"Joaquín","Garrigues Walker","https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Garrigues_Walker"
1956-03-19,"Jordi","Sevilla Segura","https://es.wikipedia.org/wiki/Jordi_Sevilla"
1930-05-23,"Jordi","Solé Tura","https://es.wikipedia.org/wiki/Jordi_Sol%C3%A9_Tura"
1950-04-06,"Jorge","Fernández Díaz","https://es.wikipedia.org/wiki/Jorge_Fern%C3%A1ndez_D%C3%ADaz"
1923-12-10,"Jorge","Semprún Maura","https://es.wikipedia.org/wiki/Jorge_Sempr%C3%BAn"
1960-03-28,"José Antonio","Alonso Suárez","https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Alonso_Su%C3%A1rez"
1946-06-07,"José Antonio","Griñán Martínez","https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Gri%C3%B1%C3%A1n"
1942-03-13,"José","Barrionuevo Peña","https://es.wikipedia.org/wiki/Jos%C3%A9_Barrionuevo"
1962-02-06,"José","Blanco López","https://es.wikipedia.org/wiki/Jos%C3%A9_Blanco_L%C3%B3pez"
1950-12-14,"José","Bono Martínez","https://es.wikipedia.org/wiki/Jos%C3%A9_Bono"
1946-10-09,"José Claudio","Aranzadi Martínez","https://es.wikipedia.org/wiki/Claudio_Aranzadi"
1935-01-02,"José Enrique","Martínez Genique","https://es.wikipedia.org/wiki/Jos%C3%A9_Enrique_Mart%C3%ADnez_Genique"
1959-06-09,"José","Guirao Cabrera","https://es.wikipedia.org/wiki/Jos%C3%A9_Guirao"
