id_name,full_name,birth_date,source
yolanda_merelo_palomares,Yolanda Merelo Palomares,,
visitacion_perez_vega,Visitación Pérez Vega,,
virginio_sanchez_barberan,Virginio Sánchez Barberán,,
virgilio_velasco_bueno,Virgilio Velasco Bueno,1935,https://heraldodiariodesoria.elmundo.es/articulo/soria/fallece-virgilio-velasco-segundo-alcalde-democracia-soria/20170701101000259134.html
vidal_galicia_jaramillo,Vidal Galicia Jaramillo,1965-05-23,http://elperiodicodecastillayleon.com/noticia/2016-04-01-vidal-galicia-jaramillo-alcalde-arevalo-siempre-he-sido-una-persona-consenso-1956
victoriano_roncero_rodriguez,Victoriano Roncero Rodríguez,,
victor_gonzalez_fernandez,Víctor González Fernández,1987-08-15,https://www.psoe.es/senado/notas-de-prensa/juan-espadas-susana-diaz-y-victor-gonzalez-toman-posesion-de-sus-escanos/
vicente_romualdo_murillo_gomez,Vicente Romualdo Murillo Gómez,,
vicente_martinez_mus,Vicente Martínez Mus,,
vicente_juan_villar,Vicente Juan Villar,,
vanessa_callau_minarro,Vanessa Callau Miñarro,1980-04-25,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html;jsessionid=JnQ8kGGK0Zh4T76hNwGSFRT12pnYMnh4Kl2Q3mvX1m1cwr111QNv!-2092363325?id1=19665&legis=14&id2=g
valeriano_enriquez_gonzalez,Valeriano Enríquez González,,
valentin_bravo_martin_pintado,Valentín Bravo Martín-Pintado,,
tomas_rafael_delgado_toro,Tomás Rafael Delgado Toro,1951-11-24,https://cordobapedia.wikanda.es/wiki/Tom%C3%A1s_Delgado_Toro
tomas_cabrera_lozano,Tomás Cabrera Lozano,1952-04-16,https://www.parlamentodeandalucia.es/opencms/export/portal-web-parlamento/contenidos/pdf/PublicacionesNOoficiales/Monografias/memoriaXXVaniversario.pdf
tirso_tomas_gonzalez,Tirso Tomás González,,
teresa_garcia_aviles,Teresa García Avilés,1973,https://elpais.com/diario/2000/05/03/ultima/957304802_850215.html
susana_hernandez_ruiz,Susana Hernández Ruiz,1976,https://murciaeconomia.com/art/62876/estos-son-los-cuatro-nuevos-senadores-por-murcia-dos-del-psoe-y-dos-del-pp
susana_carmen_german_laguna,Susana Carmen Germán Laguna,1958-06-01,https://prabook.com/web/susana_carmen.german_laguna/943731
sotero_fernandez_pinilla_lopez_menchero,Sotero Fernández-Pinilla López-Menchero,1942-08-13,https://www.boe.es/boe/dias/1978/05/06/pdfs/A10688-10689.pdf
sinforiano_rebolledo_macias,Sinforiano Rebolledo Macías,,
severa_gonzalez_lopez,Severa González López,1967-11-05,https://www.murcia.com/region/noticias/2014/04/29-severa-gonzalez-lopez-primera-portavoz-del-grupo-parlamentario-popular.asp
sergio_ramos_acosta,Sergio Ramos Acosta,1983,https://www.canarias7.es/canarias/gran-canaria/telde/manuel-dominguez-respalda-20221127203732-nt.html
sergio_carlos_matos_castro,Sergio Carlos Matos Castro,,
sebastian_garcia_tomas,Sebastián García Tomás,1957,https://www.laverdad.es/murcia/v/20101029/murcia/hace-falta-renovacion-ayuntamiento-20101029.html
sebastian_contin_pellicer,Sebastián Contín Pellicer,,
saturnina_santana_dumpierrez,Saturnina Santana Dumpiérrez,,
santiago_ballesteros_rodrigo,Santiago Ballesteros de Rodrigo,,
santiago_balleste_clofent,Santiago Ballesté Clofent,1957-07-25,https://ca.wikipedia.org/wiki/Santiago_Ballest%C3%A9_i_Clofent
salvador_ripoll_marin,Salvador Ripoll Marín,1922,https://archivogeneral.carm.es/archivoGeneral/arg.detalle_documento?idDetalle=3963206#
salvador_capdevila_bas,Salvador Capdevila Bas,1946,https://ca.wikipedia.org/wiki/Salvador_Capdevila_i_Bas
ruben_marcos_villacampa_arilla,Rubén Marcos Villacampa Arilla,1948-03-24,https://www.psoe.es/senado/notas-de-prensa/ruben-villacampa-adquiere-la-condicion-plena-de-senador/
rosendo_audet_puncernau,Rosendo Audet Puncernau,1923-06-10,https://www.galeriametges.cat/galeria-bibliografia.php?icod=EHME
rosa_maria_perez_hernandez,Rosa María Pérez Hernández,1948,https://esquelas.diariosur.es/necrologicas/dna-rosa-maria-perez-hernandez-405770.html
rosa_maria_fernandez_pacheco,Rosa María Fernández Pacheco,,
rosa_lopez_garnica,Rosa López Garnica,,
rosa_isabel_diez_lopez,Rosa Isabel Díez López,,
rodrigo_mediavilla_perez,Rodrigo Mediavilla Pérez,1991-01-19,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18104&legis=14&id2=g
roberto_fernandez_reguera_lagunero,Roberto Fernández de la Reguera Lagunero,,
