legislature,position_cancidady_code,short_name,name,parties_code,source,observations
0,AP,AP,ALIANZA POPULAR,"es-100042,es-100001,es-100039,es-100040,es-100010,es-100035",http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
0,CAIC,CAIC,CANDIDATURA ARAGONESA INDEPENDIENTE DE CENTRO,es-100005,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
0,CIC,CIC,CANDIDATURA INDEPENDIENTE DE CENTRO,es-100006,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
0,EC,EC,ESQUERRA DE CATALUNYA,"es-100031,es-166,es-234",http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
0,EE,EE,EUSKADIKO EZQUERRA-IZQUIERDA DE EUSKADI,"es-100018,es-100017",http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
0,PCE,PCE,PARTIDO COMUNISTA DE ESPAÑA,es-49,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
0,PCE-PCPV,PCPV,PARTIT COMUNISTA DEL PAIS VALENCIA,es-787,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
0,PDC,PDC,PACTE DEMOCRATIC PER CATALUNYA,"es-71,es-100032,es-100016,es-2268",http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
0,PNV,PNV,PARTIDO NACIONALISTA VASCO-EUZKO ALDERDI JELTZALEA,es-170,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
0,PSC-PSOE,PSC-PSOE,PARTIT DELS SOCIALISTES DE CATALUNYA,es-351,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
0,"PSOE,PSE-PSOE",PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,es-46,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
0,PSUC,PSUC,PARTIT SOCIALISTA UNIFICAT DE CATALUNYA,es-60,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
0,"UCD,CC-UCD",UCD,UNION DE CENTRO DEMOCRATICO,es-282,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
0,UCIDCC,UC-DCC,UNIO DEL CENTRE I LA DEMOCRACIA CRISTIANA DE CATALUNYA,es-100038,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
0,"US,US-PSP",US,UNIDAD SOCIALISTA,"es-100030,es-100028,es-2322,es-100027,es-100029,es-100033,es-100021,es-100034",http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1977_Candidaturas.pdf,
1,CC-UCD,CC-UCD,CENTRISTES DE CATALUNYA,es-444,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,CD,CD,COALICIÓN DEMOCRATICA,"es-171,es-317,es-100024,es-100036,es-45,es-100025,es-100002,es-100004,es-100011,es-100008",http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,CIU,CiU,CONVERGÈNCIA i UNIÓ,"es-71,es-100041",http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,EE,EE,EUSKADIKO EZQUERRA-IZQUIERDA DE EUSKADI,es-555,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,ERC,ERC,ESQUERRA REPUBLICANA DE CATALUNYA,es-166,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,HB,HB,HERRI BATASUNA,es-100020,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,PAR,PAR,PARTIDO ARAGONES REGIONALISTA,es-315,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,PCE,PCE,PARTIDO COMUNISTA DE ESPAÑA,es-49,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,PCPV,PCPV,PARTIT COMUNISTA DEL PAIS VALENCIA,es-787,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,PNV,PNV-EAJ,PARTIDO NACIONALISTA VASCO,es-170,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,PSA,PSA,PARTIDO SOCIALISTA DE ANDALUCIA PARTIDO ANDALUZ,es-2322,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,PSC-PSOE,PSC-PSOE,PARTIT DELS SOCIALISTES DE CATALUNYA,es-351,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,"PSOE,PSE-PSOE",PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,es-46,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,Los diputados del PSE-PSOE forman parte de la candidatura PSOE
1,PSUC,PSUC,PARTIT SOCIALISTA UNIFICAT DE CATALUNYA,es-60,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,UCD,UCD,UNION DE CENTRO DEMOCRATICO,es-282,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,UN,UN,UNIDAD NACIONAL,"es-1380,es-7,es-100009,es-2319,es-304",http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,UPC,UPC,UNION DEL PUEBLO CANARIO,es-603,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
1,UPN,UPN,UNION DEL PUEBLO NAVARRO,es-372,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1979_Candidaturas.pdf,
2,CD,CD,COALICIÓN DEMOCRATICA,"es-171,es-317,es-100024,es-100036,es-45,es-100025,es-100002,es-100004,es-100011,es-100008",http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1982_Candidaturas.pdf,
2,CDS,CDS,CENTRO DEMOCRATICO Y SOCIAL,es-560,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1982_Candidaturas.pdf,
2,CIU,CiU,CONVERGÈNCIA i UNIÓ,"es-71,es-100041",http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1982_Candidaturas.pdf,
2,EE,EE,EUSKADIKO EZKERRA,es-555,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1982_Candidaturas.pdf,
2,ERC,ERC,ESQUERRA REPUBLICANA DE CATALUNYA,es-166,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1982_Candidaturas.pdf,
2,HB,HB,HERRI BATASUNA,es-100020,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1982_Candidaturas.pdf,
2,PCE,PCE,PARTIDO COMUNISTA DE ESPAÑA,es-49,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1982_Candidaturas.pdf,
2,PNV,PNV,PARTIDO NACIONALISTA VASCO,es-170,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1982_Candidaturas.pdf,
2,PSOE,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,es-46,http://www.juntaelectoralcentral.es/cs/jec/documentos/GENERALES_1982_Candidaturas.pdf,
