adm0,short_name,name,color
es,UCD,"Unión de Centro Democrático",#167D33
es,PSOE,"Partido Socialista Obrero Español",#E30613
es,PNV,"Partido Nacionalista Vasco",#008000
es,CDC,"Convergencia",#18307B
es,CiU,"Convergencia i Unió",#18307B
es,ERC,"Esquerra Republicana de Catalunya",#FFB232
es,IU,"Izquierda Unida",#DF0022
es,PCE,"Partido Comunista de España",#D70729
es,UPyD,"Unión, Progreso y Democracia",#E2007A
es,AP,"Alianza Popular",#1D84CE
es,PP,"Partido Popular",#1D84CE
es,Cs,"Ciudadanos",#EB6109
es,Podemos,"Podemos",#672f6C
es,CatComú,"Catalunya en Comú",#611B70
es,ECP,"En Comú Podem",#6e236e
es,Vox,"Vox",#63BE21
es,MP,"Más País",#0DDF81
es,Equo,"Verdes Equo",#3E9B39
es,PAR,"Partido Aragonés",#FBB730
es,PA,"Partido Andalucista",#1CA838
es,BNG,"Bloque Nacionalista Galego",#ADCFEF
es,CUP,"Candidatura de Unidad Popular",#FFF200
es,EH Bildu,"Euskal Herria Bildu",#C4D600
es,JxCat,"Junts per Catalunya",#20C0B2
es,CC,"Coalición Canaria",#FFD700
es,NA+,"Navarra Suma",#E3021D
es,PRC,"Partido Regionalista de Cantabria",#C2CE0C
es,TE,"Teruel Existe",#037252
es,Compromís,"Compromís",#E65F00
