"birth_date","first_name","last_name","genre","source"
1941-10-31,"Abel","Matutes Juan","M","https://en.wikipedia.org/wiki/Abel_Matutes"
1946-09-02,"Abel Ramón","Caballero Álvarez","M","https://en.wikipedia.org/wiki/Abel_Caballero"
1932-09-25,"Adolfo","Suárez González","M","https://en.wikipedia.org/wiki/Adolfo_Su%C3%A1rez"
1932-04-27,"Agustín","Rodríguez Sahagún","M","https://en.wikipedia.org/wiki/Agust%C3%ADn_Rodr%C3%ADguez_Sahag%C3%BAn"
1985-10-09,"Alberto","Garzón Espinosa","M","https://en.wikipedia.org/wiki/Alberto_Garz%C3%B3n"
1928-07-29,"Alberto","Oliart Saussol","M","https://en.wikipedia.org/wiki/Alberto_Oliart"
1958-12-11,"Alberto","Ruiz-Gallardón Jiménez","M","https://en.wikipedia.org/wiki/Alberto_Ruiz-Gallard%C3%B3n"
1967-04-14,"Alfonso","Alonso Aranegui","M","https://en.wikipedia.org/wiki/Alfonso_Alonso"
1955-10-05,"Alfonso","Dastis Quecedo","M","https://en.wikipedia.org/wiki/Alfonso_Dastis"
1940-05-31,"Alfonso","Guerra González","M","https://en.wikipedia.org/wiki/Alfonso_Guerra"
1923-12-13,"Alfonso","Osorio García","M","https://en.wikipedia.org/wiki/Alfonso_Osorio"
1951-07-28,"Alfredo","Pérez Rubalcaba","M","https://en.wikipedia.org/wiki/Alfredo_P%C3%A9rez_Rubalcaba"
1970-01-30,"Álvaro","Nadal Belda","M","https://en.wikipedia.org/wiki/%C3%81lvaro_Nadal"
1932-07-05,"Álvaro","Rengifo Calderón","M","https://es.wikipedia.org/wiki/%C3%81lvaro_Rengifo"
1957-11-11,"Ana María","Pastor Julián","F","https://en.wikipedia.org/wiki/Ana_Pastor_(politician)"
1959-09-24,"Ana","Mato Adrover","F","https://en.wikipedia.org/wiki/Ana_Mato"
1948-07-22,"Ana","Palacio Vallelersundi","F","https://en.wikipedia.org/wiki/Ana_Palacio"
1930-11-16,"Andrés","Reguera Guajardo","M","https://es.wikipedia.org/wiki/Andr%C3%A9s_Reguera_Guajardo"
1958-07-03,"Ángel","Acebes Paniagua","M","https://en.wikipedia.org/wiki/%C3%81ngel_Acebes"
1949-03-01,"Ángel","Gabilondo Pujol","M","https://en.wikipedia.org/wiki/%C3%81ngel_Gabilondo"
1965-04-07,"Ángeles","González-Sinde Reig","F","https://en.wikipedia.org/wiki/%C3%81ngeles_Gonz%C3%A1lez-Sinde"
1954-06-28,"Anna María","Birulés Bertrán","F","https://en.wikipedia.org/wiki/Anna_Birul%C3%A9s"
1951-07-12,"Antoni","Asunción Hernández","M","https://en.wikipedia.org/wiki/Antoni_Asunci%C3%B3n"
1964-02-11,"Antonio","Camacho Vizcaíno","M","https://en.wikipedia.org/wiki/Antonio_Camacho_Vizca%C3%ADno"
1923-10-15,"Antonio","Fontán Pérez","M","https://en.wikipedia.org/wiki/Antonio_Font%C3%A1n"
1913-09-25,"Antonio","Ibáñez Freire","M","https://en.wikipedia.org/wiki/Antonio_Ib%C3%A1%C3%B1ez_Freire"
1969-05-22,"Arancha","González Laya","F","https://en.wikipedia.org/wiki/Arancha_Gonz%C3%A1lez_Laya"
1927-05-01,"Aurelio","Menéndez Menéndez","M","https://en.wikipedia.org/wiki/Aurelio_Men%C3%A9ndez"
1968-07-01,"Beatriz","Corredor Sierra","F","https://en.wikipedia.org/wiki/Beatriz_Corredor"
1951-05-07,"Bernat","Soria Escoms","M","https://en.wikipedia.org/wiki/Bernat_Soria"
1977-02-02,"Bibiana","Aído Almagro","F","https://en.wikipedia.org/wiki/Bibiana_A%C3%ADdo"
1936-10-21,"Carlos","Bustelo García del Real","M","https://www.diariocordoba.com/opinion/2005/02/02/carlos-bustelo-38806511.html"
1912-08-30,"Carlos","Franco Iribarnegaray","M","https://en.wikipedia.org/wiki/Carlos_Franco_Iribarnegaray"
1927-12-31,"Carlos","Pérez de Bricio Olariaga","M","https://es.wikipedia.org/wiki/Carlos_P%C3%A9rez_de_Bricio"
1941-12-12,"Carlos","Romero Herrera","M","https://gee.mienciclo.com/articulo/jose-carlos-romero-herrera"
1944-05-28,"Carlos","Solchaga Catalán","M","https://es.wikipedia.org/wiki/Carlos_Solchaga"
1937-01-07,"Carlos","Westendorp Cabeza","M","https://es.wikipedia.org/wiki/Carlos_Westendorp"
