start,end,person_name,position_short_name,position_full_name,period_name,candidacy
1976-07-05,1977-06-17,Adolfo Suárez González,Presidente,Presidente del Gobierno,Suárez I,UCD
1976-07-08,1976-09-23,Fernando de Santiago Díaz de Mendívil,Vicepresidente,Vicepresidente Primero del Gobierno,Suárez I,UCD
1976-07-08,1977-07-05,Alfonso Osorio García,Vicepresidente,Vicepresidente Segundo del Gobierno,Suárez I,UCD
1976-07-08,1977-07-05,Alfonso Osorio García,Ministro,Ministro de Presidencia,Suárez I,UCD
1976-07-08,1977-07-05,Marcelino Oreja Aguirre,Ministro,Ministro de Exteriores,Suárez I,UCD
1976-07-08,1977-07-05,Landelino Lavilla Alsina,Ministro,Ministro de Justicia,Suárez I,UCD
1976-07-08,1977-07-05,Félix Álvarez-Arenas Pacheco,Ministro,Ministro del Ejército,Suárez I,UCD
1976-07-08,1977-04-15,Gabriel Pita da Veiga Sanz,Ministro,Ministro de la Marina,Suárez I,UCD
1976-07-08,1977-07-05,Eduardo Carriles Galarraga,Ministro,Ministro de Hacienda,Suárez I,UCD
1976-07-08,1977-07-05,Rodolfo Martín Villa,Ministro,Ministro de Interior,Suárez I,UCD
1976-07-08,1977-04-23,Leopoldo Calvo-Sotelo Bustelo,Ministro,Ministro de Obras Públicas,Suárez I,UCD
1976-07-08,1977-07-05,Aurelio Menéndez Menéndez,Ministro,Ministro de Educación y Ciencia,Suárez I,UCD
1976-07-08,1977-07-05,Álvaro Rengifo Calderón,Ministro,Ministro de Trabajo,Suárez I,UCD
1976-07-08,1977-07-05,Carlos Pérez de Bricio Olariaga,Ministro,Ministro de Industria,Suárez I,UCD
1976-07-08,1977-07-05,Carlos Franco Iribarnegaray,Ministro,Ministro del Aire,Suárez I,UCD
1976-07-08,1977-07-05,Fernando Abril Martorell,Ministro,Ministro de Agricultura,Suárez I,UCD
1976-07-08,1977-04-07,Ignacio García López,Ministro,Ministro-secretario General del Movimiento,Suárez I,UCD
1976-07-08,1977-07-05,José Lladó Fernández Urrutia,Ministro,Ministro de Comercio,Suárez I,UCD
1976-07-08,1977-07-05,Andrés Reguera Guajardo,Ministro,Ministro de Información y Turismo,Suárez I,UCD
1976-07-08,1977-07-05,Francisco Lozano Vicente,Ministro,Ministro de Vivienda,Suárez I,UCD
1976-07-08,1977-07-05,Enrique de la Mata Gorostizaga,Ministro,Ministro de Relaciones Sindicales,Suárez I,UCD
1976-09-23,1977-07-05,Manuel Gutiérrez Mellado,Vicepresidente,Vicepresidente Primero del Gobierno,Suárez I,UCD
1976-09-23,1977-07-05,Pascual Pery Junquera,Ministro,Ministro de la Marina,Suárez I,UCD
1977-05-11,1977-07-05,Luis Ortiz González,Ministro,Ministro de Obras Públicas,Suárez I,UCD
1976-04-07,1977-04-07,Ignacio García López,Ministro,Ministro-secretario del Gobierno,Suárez I,UCD
1977-06-17,1979-04-02,Adolfo Suárez González,Presidente,Presidente del Gobierno,Suárez II,UCD
1977-07-05,1979-04-06,Manuel Gutiérrez Mellado,Vicepresidente,Vicepresidente Primero del Gobierno,Suárez II,UCD
1977-07-05,1979-04-06,Manuel Gutiérrez Mellado,Ministro,Ministro de Defensa,Suárez II,UCD
1977-07-05,1978-02-25,Enrique Fuentes Quintana,Vicepresidente,Vicepresidente Segundo del Gobierno,Suárez II,UCD
1977-07-05,1978-02-25,Enrique Fuentes Quintana,Ministro,Ministro de Economía,Suárez II,UCD
1977-07-05,1978-02-25,Fernando Abril Martorell,Vicepresidente,Vicepresidente Tercero del Gobierno,Suárez II,UCD
1977-07-05,1979-04-06,Marcelino Oreja Aguirre,Ministro,Ministro de Exteriores,Suárez II,UCD
1977-07-05,1979-03-22,Landelino Lavilla Alsina,Ministro,Ministro de Justicia,Suárez II,UCD
1977-07-05,1979-04-06,Francisco Fernández Ordóñez,Ministro,Ministro de Hacienda,Suárez II,UCD
1977-07-05,1979-04-06,Rodolfo Martín Villa,Ministro,Ministro de Interior,Suárez II,UCD
1977-07-05,1979-04-06,Joaquín Garrigues Walker,Ministro,Ministro de Obras Públicas y Urbanismo,Suárez II,UCD
1977-07-05,1979-04-06,Íñigo Cavero Lataillade,Ministro,Ministro de Educación y Ciencia,Suárez II,UCD
1977-07-05,1978-02-25,Manuel Jiménez de Parga Cabrera,Ministro,Ministro de Trabajo,Suárez II,UCD
1977-07-05,1978-02-25,Alberto Oliart Saussol,Ministro,Ministro de Industria y Energía,Suárez II,UCD
1977-07-05,1978-02-25,José Enrique Martínez Genique,Ministro,Ministro de Agricultura,Suárez II,UCD
1977-07-05,1979-04-06,Juan Antonio García Díez,Ministro,Ministro de Comercio y Turismo,Suárez II,UCD
1977-07-05,1979-04-06,José Manuel Otero Novas,Ministro,Ministro de Presidencia,Suárez II,UCD
1977-07-05,1979-02-25,José Lladó Fernández Urrutia,Ministro,Ministro de Transportes y Comunicaciones,Suárez II,UCD
1977-07-05,1979-04-06,Enrique Sánchez de León Pérez,Ministro,Ministro de Sanidad y Seguridad Social,Suárez II,UCD
1977-07-05,1977-09-01,Pío Cabanillas Gallas,Ministro,Ministro de Cultura y Bienestar,Suárez II,UCD
1977-07-05,1979-04-06,Manuel Clavero Arévalo,Ministro Adjunto,Ministro Adjunto para las Regiones de España,Suárez II,UCD
1977-07-05,1977-09-27,Ignacio Camuñas Solís,Ministro Adjunto,Ministro Adjunto para las Relaciones con las Cortes,Suárez II,UCD
1977-09-01,1979-04-06,Pío Cabanillas Gallas,Ministro,Ministro de Cultura,Suárez II,UCD
1978-02-25,1979-04-06,Fernando Abril Martorell,Vicepresidente,Vicepresidente Segundo del Gobierno,Suárez II,UCD
1978-02-25,1979-04-06,Fernando Abril Martorell,Ministro,Ministro de Economía,Suárez II,UCD
1978-02-25,1979-04-06,Rafael Calvo Ortega,Ministro,Ministro de Trabajo,Suárez II,UCD
1978-02-25,1979-04-06,Agustín Rodríguez Sahagún,Ministro,Ministro de Industria y Energía,Suárez II,UCD
1978-02-25,1979-04-06,Jaime Lamo de Espinosa Michels de Champourcin,Ministro,Ministro de Agricultura,Suárez II,UCD
1978-02-25,1979-04-06,Salvador Sánchez-Terán Hernández,Ministro,Ministro de Transportes y Comunicaciones,Suárez II,UCD
1978-02-11,1979-04-06,Leopoldo Calvo-Sotelo Bustelo,Ministro,Ministro para las Relaciones con las Comunidades Europeas,Suárez II,UCD
1979-04-02,1981-02-26,Adolfo Suárez González,Presidente,Presidente del Gobierno,Suárez III,UCD
1979-04-06,1981-02-27,Manuel Gutiérrez Mellado,Vicepresidente,Vicepresidente Primero del Gobierno,Suárez III,UCD
1979-04-06,1980-09-09,Fernando Abril Martorell,Vicepresidente,Vicepresidente Segundo del Gobierno,Suárez III,UCD
1979-04-06,1980-09-09,Marcelino Oreja Aguirre,Ministro,Ministro de Exteriores,Suárez III,UCD
1979-04-06,1980-09-09,Íñigo Cavero Lataillade,Ministro,Ministro de Justicia,Suárez III,UCD
1979-04-06,1981-02-27,Agustín Rodríguez Sahagún,Ministro,Ministro de Defensa,Suárez III,UCD
1979-04-06,1981-02-27,Jaime García Añoveros,Ministro,Ministro de Hacienda,Suárez III,UCD
1979-04-06,1980-05-03,Antonio Ibáñez Freire,Ministro,Ministro de Interior,Suárez III,UCD
1979-04-06,1981-02-27,Jesús Sancho Rof,Ministro,Ministro de Obras Públicas y Urbanismo,Suárez III,UCD
1979-04-06,1980-09-09,José Manuel Otero Novas,Ministro,Ministro de Educación,Suárez III,UCD
1979-04-06,1980-05-03,Rafael Calvo Ortega,Ministro,Ministro de Trabajo,Suárez III,UCD
1979-04-06,1980-05-03,Carlos Bustelo García del Real,Ministro,Ministro de Industria y Energía,Suárez III,UCD
1979-04-06,1981-02-27,Jaime Lamo de Espinosa Michels de Champourcin,Ministro,Ministro de Agricultura,Suárez III,UCD
1979-04-06,1980-05-03,Juan Antonio García Díez,Ministro,Ministro de Comercio y Turismo,Suárez III,UCD
1979-04-06,1980-05-03,José Pedro Pérez-Llorca Rodrigo,Ministro,Ministro de Presidencia,Suárez III,UCD
1979-04-06,1980-09-09,José Luis Leal Maldonado,Ministro,Ministro de Economía,Suárez III,UCD
1979-04-06,1980-05-03,Salvador Sánchez-Terán Hernández,Ministro,Ministro de Transportes y Comunicaciones,Suárez III,UCD
1979-04-06,1980-09-09,Juan Rovira Tarazona,Ministro,Ministro de Sanidad y Seguridad Social,Suárez III,UCD
1979-04-06,1980-01-17,Manuel Clavero Arévalo,Ministro,Ministro de Cultura,Suárez III,UCD
1979-04-06,1980-05-03,Joaquín Garrigues Walker,Ministro Adjunto,Ministro Adjunto al Presidente,Suárez III,UCD
1979-04-06,1980-09-09,Leopoldo Calvo-Sotelo Bustelo,Ministro,Ministro para las Relaciones con las Comunidades Europeas,Suárez III,UCD
1979-04-06,1980-01-18,Rafael Arias-Salgado Montalvo,Ministro,Ministro Adjunto para las Relaciones con las Cortes,Suárez III,UCD
1979-04-06,1980-05-03,Antonio Fontán Pérez,Ministro,Ministro de Administración Territorial,Suárez III,UCD
1979-04-06,1981-02-27,Luis González Seara,Ministro,Ministro de Universidades e Investigación,Suárez III,UCD
1980-01-18,1980-09-09,Ricardo de la Cierva Hoces,Ministro,Ministro de Cultura,Suárez III,UCD
1980-01-18,1980-05-03,Rafael Arias-Salgado Montalvo,Ministro Adjunto,Ministro Adjunto al Presidente,Suárez III,UCD
1980-05-03,1981-02-27,Juan José Rosón Pérez,Ministro,Ministro de Interior,Suárez III,UCD
