full_name,birth_date,adm4,start,end,source
Alfredo Marco Tabar,1933-05-16,es_ara_vitoriagasteiz,1977-01-01,1979-05-15,https://es.wikipedia.org/wiki/Alfredo_Marco_Tabar
José Ángel Cuerda Montoya,1934-03-17,es_ara_vitoriagasteiz,1979-05-15,1999-07-04,https://es.wikipedia.org/wiki/Jos%C3%A9_%C3%81ngel_Cuerda
Alfonso Alonso Aranegui,1967-04-14,es_ara_vitoriagasteiz,1999-07-04,2007-06-14,https://es.wikipedia.org/wiki/Alfonso_Alonso
Patxi Lazcoz Baigorri,1965-08-30,es_ara_vitoriagasteiz,2007-06-16,2011-06-11,https://es.wikipedia.org/wiki/Patxi_Lazcoz
Javier Ignacio Maroto Aranzábal,1972-01-06,es_ara_vitoriagasteiz,2019-07-30,2999-12-31,https://es.wikipedia.org/wiki/Javier_Maroto
Ramón Bello Bañón,1930-01-01,es_alb_albacete,1974-01-01,1978-01-01,https://es.wikipedia.org/wiki/Ram%C3%B3n_Bello_Ba%C3%B1%C3%B3n
Abelardo Sánchez Moreno,1935-01-01,es_alb_albacete,1978-01-01,1979-01-01,https://es.wikipedia.org/wiki/Abelardo_S%C3%A1nchez_Moreno
Salvador Jiménez Ibáñez,1943-09-01,es_alb_albacete,1979-04-19,1983-05-26,https://es.wikipedia.org/wiki/Salvador_Jim%C3%A9nez_Ib%C3%A1%C3%B1ez
José Jerez Colino,1939-12-21,es_alb_albacete,1983-05-26,1991-06-15,https://es.wikipedia.org/wiki/Jos%C3%A9_Jerez_Colino
Carmen Belmonte Useros,1950-01-01,es_alb_albacete,1991-06-15,1995-05-17,https://es.wikipedia.org/wiki/Carmina_Belmonte
Juan Garrido Herráez,1951-09-02,es_alb_albacete,1995-05-28,1999-06-13,https://es.wikipedia.org/wiki/Juan_Garrido_Herr%C3%A1ez
Manuel Pérez Castell,1948-02-12,es_alb_albacete,1999-07-03,2008-03-31,https://es.wikipedia.org/wiki/Manuel_P%C3%A9rez_Castell
María del Carmen Oliver Jaquero,1969-05-22,es_alb_albacete,2008-03-31,2011-06-11,https://es.wikipedia.org/wiki/Carmen_Oliver_Jaquero
María del Carmen Bayod Guinalio,1949-07-15,es_alb_albacete,2011-06-11,2015-06-13,https://es.wikipedia.org/wiki/Carmen_Bayod
